GeneName	MeanOverall	DispOverall	Disp1	Disp2	DispFC	DispLog2FC	ProbDiffDisp	ResultDiffDisp
RP4-657D16.3	0.004	7.36	8.446	5.811	1.933	0.951	0.809	NoDiff
RP4-665J23.1	0.003	9.679	9.854	9.429	0.876	-0.191	0.854	NoDiff
RP4-665N4.8	0.007	5.825	4.578	7.603	0.628	-0.671	0.719	NoDiff
RP4-669L17.10	0.008	3.074	3.469	2.51	1.364	0.448	0.764	NoDiff
RP4-680D5.8	0.002	16.656	19.197	13.033	1.572	0.652	0.794	NoDiff
RP4-710M16.2	0.006	659.507	246.881	1247.867	0.193	-2.374	0.96	GM18502+
RP4-728D4.2	0.059	1.633	1.388	1.983	0.731	-0.451	0.553	NoDiff
RP4-736L20.3	0.001	14.157	13.402	15.234	1.239	0.309	0.844	ExcludedFromTesting
RP4-758J18.13	0.008	2.017	2.077	1.932	1.219	0.286	0.819	NoDiff
RP4-773N10.4	0.005	6.858	6.96	6.713	1.121	0.165	0.809	NoDiff
RP4-781K5.2	0.002	11.11	3.268	22.292	0.14	-2.841	0.884	NoDiff
RP4-781K5.6	0.009	27.778	23.959	33.224	0.741	-0.432	0.603	ExcludedFromTesting
RP4-784A16.5	0.004	11.671	6.437	19.133	0.363	-1.461	0.804	NoDiff
RP4-789D17.5	0.004	10.719	9.366	12.648	1.044	0.062	0.789	NoDiff
RP4-794H19.1	0.012	2.526	3.224	1.53	1.933	0.951	0.809	NoDiff
RP4-798A10.2	0.015	2.045	2.422	1.508	1.698	0.764	0.784	NoDiff
RP4-798A10.7	0.024	0.927	1.251	0.465	3.01	1.59	0.859	ExcludedFromTesting
RP5-1024G6.2	0.004	13.123	15.613	9.573	1.639	0.712	0.819	NoDiff
RP5-1024G6.5	0.027	0.632	0.734	0.487	1.326	0.407	0.734	NoDiff
RP5-1024G6.7	0.005	6.736	4.616	9.759	0.515	-0.958	0.824	NoDiff
RP5-1065J22.8	0.066	0.736	0.653	0.855	0.704	-0.506	0.724	NoDiff
RP5-1071N3.1	0.014	1.22	1.084	1.414	0.775	-0.368	0.794	NoDiff
RP5-1074L1.1	0.004	10.452	7.937	14.039	0.516	-0.954	0.774	NoDiff
RP5-1074L1.4	0.007	7.386	9.27	4.7	2.162	1.112	0.764	NoDiff
RP5-1086K13.1	0.005	7.222	8.488	5.418	1.255	0.328	0.734	NoDiff
RP5-1092A11.5	0.005	5.909	2.711	10.47	0.221	-2.18	0.874	NoDiff
RP5-1092A3.4	0.22	0.703	0.603	0.845	0.735	-0.444	0.377	NoDiff
RP5-1098D14.1	0.014	2.113	2.142	2.072	1.066	0.092	0.749	NoDiff
RP5-1115A15.1	0.003	13.22	10.285	17.403	0.535	-0.903	0.779	NoDiff
RP5-1157M23.2	0.013	2.422	2.787	1.901	1.418	0.504	0.739	NoDiff
RP5-1180E21.5	0.036	0.581	0.546	0.63	0.805	-0.314	0.714	NoDiff
RP5-1198O20.4	0.012	14.342	8.679	22.417	0.364	-1.46	0.789	ExcludedFromTesting
RP5-827C21.4	0.057	1.023	1.297	0.633	1.967	0.976	0.698	NoDiff
RP5-827C21.6	0.005	5.407	6.291	4.145	1.688	0.755	0.854	NoDiff
RP5-832C2.5	0.028	2.622	1.684	3.96	0.442	-1.177	0.769	NoDiff
RP5-857K21.4	0.001	25.822	12.743	44.47	0.489	-1.034	0.819	ExcludedFromTesting
RP5-864K19.4	0.048	1.554	1.741	1.287	1.351	0.434	0.553	NoDiff
RP5-875O13.1	0.003	11.621	13.52	8.913	1.799	0.848	0.844	NoDiff
RP5-884C9.2	0.001	10.093	12.691	6.39	1.37	0.455	0.784	ExcludedFromTesting
RP5-884G6.2	0.022	0.978	0.683	1.399	0.515	-0.958	0.759	NoDiff
RP5-887A10.1	0.834	35.005	6.446	75.727	0.086	-3.54	1	ExcludedFromTesting
RP5-892K4.1	0.004	8.365	8.649	7.961	1.271	0.347	0.789	NoDiff
RP5-943J3.2	0.027	1.446	0.765	2.417	0.3	-1.737	0.844	NoDiff
RP5-968P14.2	0.004	9.366	7.023	12.705	0.717	-0.48	0.784	NoDiff
RP5-994D16.3	0.003	11.927	14.176	8.72	2.045	1.032	0.799	NoDiff
RPA2	0.72	0.112	0.128	0.089	1.45	0.536	0.497	NoDiff
RPAP2	0.295	0.181	0.13	0.253	0.568	-0.817	0.663	NoDiff
RPE	0.248	0.136	0.158	0.105	1.554	0.636	0.668	NoDiff
RPF1	0.516	0.141	0.18	0.084	2.15	1.105	0.759	NoDiff
RPIA	0.587	0.327	0.382	0.249	1.521	0.605	0.533	ExcludedFromTesting
RPL11	130.318	0.065	0.071	0.057	1.238	0.308	0.055	NoDiff
RPL14	66.258	0.054	0.063	0.042	1.497	0.582	0.482	NoDiff
RPL15	145.226	0.055	0.061	0.048	1.29	0.368	0.05	NoDiff
RPL22	32.635	0.046	0.048	0.044	1.114	0.156	0.035	NoDiff
RPL22L1	7.883	0.501	0.507	0.493	1.033	0.046	0	ExcludedFromTesting
RPL24	46.686	0.048	0.053	0.042	1.265	0.339	0.095	NoDiff
RPL29	101.511	0.063	0.067	0.058	1.163	0.218	0.025	NoDiff
RPL31	48.185	0.09	0.1	0.077	1.303	0.382	0.035	NoDiff
RPL32	102.086	0.063	0.069	0.053	1.325	0.406	0.111	NoDiff
RPL34	85.291	0.076	0.082	0.068	1.208	0.272	0.025	NoDiff
RPL34-AS1	0.002	12.314	11.971	12.803	0.976	-0.035	0.779	NoDiff
RPL35A	56.936	0.053	0.059	0.045	1.291	0.368	0.055	NoDiff
RPL37A	71.494	0.071	0.08	0.058	1.395	0.481	0.156	NoDiff
RPL39L	0.323	1.084	1.323	0.743	1.776	0.828	0.829	ExcludedFromTesting
RPL5	65.288	0.08	0.093	0.06	1.573	0.653	0.884	NoDiff
RPL9	81.711	0.069	0.08	0.054	1.508	0.593	0.568	NoDiff
RPN1	0.886	0.422	0.466	0.36	1.286	0.363	0.181	ExcludedFromTesting
RPP14	0.091	0.382	0.315	0.476	0.683	-0.551	0.704	NoDiff
RPRD2	0.184	0.168	0.187	0.141	1.303	0.382	0.683	NoDiff
RPRM	0.001	8.295	10.801	4.721	1.724	0.786	0.864	NoDiff
RPS27	116.726	0.097	0.106	0.084	1.27	0.345	0.01	NoDiff
RPS27A	107.196	0.059	0.067	0.048	1.415	0.5	0.151	NoDiff
RPS6KA1	0.767	0.324	0.361	0.27	1.337	0.419	0.216	NoDiff
RPS6KC1	0.054	0.352	0.265	0.476	0.582	-0.78	0.724	NoDiff
RPS7	85.585	0.06	0.072	0.043	1.669	0.739	1	GM12878+
RPS8	108.933	0.073	0.084	0.057	1.446	0.532	0.241	NoDiff
RPSA	91.666	0.123	0.156	0.075	2.111	1.078	1	GM12878+
RPUSD3	0.606	0.068	0.058	0.082	0.677	-0.563	0.618	NoDiff
RQCD1	0.482	0.385	0.331	0.463	0.71	-0.494	0.407	NoDiff
RRAGC	0.436	0.274	0.226	0.342	0.659	-0.601	0.533	NoDiff
RRM2	0.375	2.192	2.522	1.721	1.459	0.545	0.387	ExcludedFromTesting
RRNAD1	0.199	0.256	0.34	0.137	2.363	1.24	0.804	NoDiff
RRP15	0.314	0.316	0.274	0.375	0.748	-0.418	0.412	NoDiff
RRP9	0.349	0.51	0.535	0.475	1.117	0.159	0.141	NoDiff
RSAD2	0.054	8.319	8.783	7.658	1.13	0.176	0.231	ExcludedFromTesting
RSBN1	0.331	0.082	0.078	0.089	0.75	-0.416	0.578	NoDiff
RSG1	0.02	1.092	0.766	1.557	0.424	-1.239	0.804	NoDiff
RSRC1	0.543	0.159	0.11	0.228	0.472	-1.083	0.814	NoDiff
RSRP1	1.236	0.31	0.335	0.275	1.213	0.279	0.06	NoDiff
RTCA	1.013	0.081	0.102	0.052	1.947	0.961	0.749	NoDiff
RTCA-AS1	0.005	11.206	12.414	9.482	1.366	0.45	0.704	NoDiff
RTKN	0.055	2.562	2.917	2.056	1.436	0.522	0.563	ExcludedFromTesting
RTN4	1.914	0.158	0.145	0.176	0.805	-0.312	0.06	NoDiff
RTP4	0.157	0.784	0.675	0.94	0.703	-0.509	0.452	NoDiff
RUBCN	0.282	0.181	0.112	0.28	0.414	-1.272	0.754	NoDiff
RUFY3	0.209	0.764	0.875	0.605	1.41	0.495	0.482	ExcludedFromTesting
RUFY4	0.004	14.655	15.784	13.046	1.275	0.351	0.809	NoDiff
RUNX3	1.127	0.642	0.785	0.44	1.776	0.828	0.97	GM12878+
RUSC1	0.118	0.172	0.227	0.093	2.405	1.266	0.789	NoDiff
RUSC1-AS1	0.007	11.654	17.643	3.115	4.943	2.305	0.91	NoDiff
RUVBL1	0.646	0.317	0.299	0.343	0.88	-0.184	0.101	ExcludedFromTesting
RWDD3	0.027	0.647	0.594	0.724	0.812	-0.3	0.648	NoDiff
RYBP	0.234	0.454	0.341	0.617	0.547	-0.869	0.688	NoDiff
RYK	0.058	0.62	0.864	0.273	3.131	1.647	0.829	NoDiff
S100A10	0.381	8.927	9.673	7.862	1.241	0.312	0.01	ExcludedFromTesting
S100A11	2.719	1.201	1.635	0.582	2.806	1.488	1	ExcludedFromTesting
S100A13	0.144	0.852	0.736	1.018	0.735	-0.445	0.487	ExcludedFromTesting
S100A14	0.01	29.656	41.944	12.136	3.412	1.771	0.935	NoDiff
S100A2	0.011	20.414	28.205	9.306	3.031	1.6	0.879	NoDiff
S100A4	1.132	4.718	6.275	2.497	2.516	1.331	1	ExcludedFromTesting
S100A5	0.005	7.742	11.613	2.221	4.948	2.307	0.925	ExcludedFromTesting
S100A6	1.737	1.636	2.053	1.042	1.968	0.977	1	GM12878+
S100A9	0.014	118.845	77.643	177.596	0.423	-1.243	0.824	NoDiff
S100PBP	0.359	0.23	0.224	0.238	0.939	-0.091	0.332	NoDiff
S1PR1	0.198	1.171	1.112	1.255	0.87	-0.201	0.176	NoDiff
SACM1L	0.114	0.352	0.212	0.553	0.39	-1.357	0.784	NoDiff
SAG	0.003	13.822	10.388	18.719	0.471	-1.087	0.854	NoDiff
SAMD11	0.002	17.236	19.664	13.775	1.343	0.426	0.799	NoDiff
SAMD13	0.01	4.015	2.653	5.957	0.459	-1.124	0.734	ExcludedFromTesting
SAMD7	0.004	8.185	9.131	6.835	1.317	0.398	0.789	NoDiff
SAP130	0.066	2.477	1.595	3.735	0.417	-1.261	0.894	NoDiff
SARS	1.019	0.197	0.215	0.171	1.25	0.322	0.166	NoDiff
SASS6	0.122	0.191	0.217	0.155	1.329	0.41	0.719	NoDiff
SATB1	0.003	14.197	12.197	17.049	0.686	-0.543	0.814	NoDiff
SCAANT1	0.004	9.095	5.968	13.554	0.246	-2.021	0.869	NoDiff
SCAMP3	0.605	0.105	0.067	0.159	0.432	-1.211	0.794	NoDiff
SCAP	0.161	0.172	0.238	0.077	2.999	1.585	0.824	NoDiff
SCARB2	0.457	1.159	0.889	1.543	0.574	-0.8	0.834	ExcludedFromTesting
SCARNA2	0.006	4.205	4.263	4.122	1.212	0.277	0.789	NoDiff
SCCPDH	0.479	0.211	0.242	0.166	1.436	0.522	0.477	ExcludedFromTesting
SCD5	0.08	0.694	0.596	0.834	0.705	-0.504	0.608	NoDiff
SCFD2	0.072	0.488	0.366	0.661	0.539	-0.892	0.724	NoDiff
SCLY	0.063	0.334	0.317	0.358	0.958	-0.062	0.693	ExcludedFromTesting
SCMH1	0.09	0.272	0.239	0.319	0.742	-0.43	0.683	NoDiff
SCN11A	0.003	17.544	18.952	15.538	1.192	0.253	0.749	NoDiff
SCN3A	0.003	11.424	13.276	8.782	1.164	0.219	0.849	NoDiff
SCNM1	0.783	0.064	0.069	0.056	1.16	0.214	0.508	NoDiff
SCNN1D	0.003	16.778	11.203	24.727	0.595	-0.749	0.819	NoDiff
SCP2	1.743	0.08	0.062	0.105	0.576	-0.796	0.704	NoDiff
SCRN3	0.07	0.188	0.244	0.107	2.423	1.277	0.874	NoDiff
SCYL3	0.114	0.316	0.274	0.375	0.711	-0.492	0.648	NoDiff
SDAD1	0.602	0.129	0.122	0.138	0.914	-0.13	0.362	NoDiff
SDC1	0.19	6.322	4.511	8.904	0.505	-0.985	0.975	GM18502+
SDC3	0.001	39.365	40.602	37.6	1.07	0.098	0.779	ExcludedFromTesting
SDCCAG8	0.614	0.467	0.411	0.548	0.754	-0.407	0.246	NoDiff
SDE2	0.089	0.332	0.285	0.399	0.708	-0.497	0.678	NoDiff
SDF4	1.226	0.116	0.118	0.112	1.064	0.089	0.166	NoDiff
SDHB	1.677	0.113	0.129	0.091	1.436	0.522	0.392	NoDiff
SDHC	2.269	0.049	0.042	0.058	0.715	-0.484	0.362	NoDiff
SEC13	0.985	0.268	0.307	0.212	1.449	0.535	0.437	NoDiff
SEC22A	0.156	0.095	0.069	0.131	0.517	-0.953	0.784	NoDiff
SEC22B	0.637	0.272	0.33	0.189	1.741	0.8	0.719	NoDiff
SEC22C	0.335	0.086	0.051	0.137	0.386	-1.373	0.784	NoDiff
SEC24B	0.055	0.513	0.66	0.304	2.36	1.239	0.799	NoDiff
SEC24B-AS1	0.026	1.045	0.827	1.355	0.635	-0.655	0.648	NoDiff
SEC31A	0.813	0.195	0.184	0.211	0.849	-0.235	0.191	ExcludedFromTesting
SEC61A1	1.12	0.347	0.375	0.306	1.209	0.274	0.07	ExcludedFromTesting
SEC62	4.159	0.247	0.247	0.247	0.991	-0.012	0	NoDiff
SEL1L3	0.612	2.224	1.801	2.827	0.638	-0.648	0.714	ExcludedFromTesting
SELK	3.265	0.599	0.596	0.605	0.988	-0.017	0	ExcludedFromTesting
SELL	0.775	2.465	3.229	1.375	2.338	1.225	0.995	GM12878+
SELT	3.513	0.099	0.097	0.102	0.95	-0.074	0.005	NoDiff
SEMA4A	0.919	0.664	0.612	0.739	0.827	-0.274	0.055	ExcludedFromTesting
SEMA4C	0.029	3.369	4.824	1.294	3.626	1.858	0.94	NoDiff
SEMA4F	0.014	1.4	1.242	1.624	0.699	-0.517	0.739	NoDiff
SEMA6C	0.001	11.888	14.603	8.016	1.578	0.658	0.869	ExcludedFromTesting
SENP2	0.228	0.142	0.188	0.076	2.294	1.198	0.819	NoDiff
SENP5	0.262	0.201	0.246	0.137	1.82	0.864	0.693	NoDiff
SENP7	0.074	0.48	0.627	0.269	2.201	1.138	0.774	NoDiff
SEP15	2.326	0.142	0.16	0.115	1.413	0.499	0.322	NoDiff
SEPN1	0.007	10.002	15.091	2.744	6.476	2.695	0.899	NoDiff
SEPSECS	0.048	0.564	0.462	0.71	0.762	-0.393	0.698	NoDiff
SEPSECS-AS1	0.076	0.346	0.202	0.551	0.346	-1.533	0.849	NoDiff
SEPT10	0.417	1.801	2.599	0.664	3.949	1.981	0.99	GM12878+
SEPT11	1.042	0.431	0.499	0.334	1.488	0.574	0.467	NoDiff
SEPT2	1.215	0.034	0.017	0.058	0.313	-1.676	0.899	NoDiff
SERBP1	5.812	0.139	0.15	0.124	1.223	0.291	0.005	NoDiff
SERINC2	0.041	15.08	14.991	15.209	0.989	-0.016	0.196	ExcludedFromTesting
SERP1	11.606	0.32	0.368	0.253	1.437	0.523	0.221	ExcludedFromTesting
SERPINE2	0.008	22.852	12.154	38.105	0.283	-1.82	0.834	ExcludedFromTesting
SERPINI1	0.088	0.604	0.645	0.545	1.325	0.406	0.678	ExcludedFromTesting
SERTAD2	0.161	0.573	0.84	0.193	4.341	2.118	0.97	GM12878+
SESN2	0.183	1.874	1.726	2.085	0.83	-0.269	0.176	NoDiff
SESTD1	0.068	1.455	1.723	1.073	1.616	0.692	0.618	NoDiff
SETD2	0.302	0.143	0.164	0.112	1.407	0.492	0.533	NoDiff
SETD5	0.506	0.144	0.136	0.156	0.874	-0.194	0.427	NoDiff
SETDB1	0.099	0.126	0.106	0.155	0.727	-0.46	0.668	NoDiff
SETMAR	0.068	0.375	0.522	0.166	3.273	1.71	0.869	ExcludedFromTesting
SF3A3	0.539	0.08	0.086	0.071	1.218	0.284	0.497	NoDiff
SF3B1	1.083	0.121	0.114	0.132	0.857	-0.223	0.181	NoDiff
SF3B4	0.669	0.097	0.094	0.102	0.925	-0.113	0.422	NoDiff
SF3B6	4.023	0.065	0.051	0.086	0.591	-0.76	0.729	NoDiff
SFMBT1	0.116	0.795	0.515	1.195	0.415	-1.269	0.824	ExcludedFromTesting
SFN	0.081	148.455	127.073	178.944	0.698	-0.519	0.417	ExcludedFromTesting
SFPQ	2.062	0.21	0.213	0.205	1.041	0.058	0.005	NoDiff
SFT2D2	0.344	0.213	0.272	0.129	2.117	1.082	0.764	NoDiff
SFT2D3	0.097	0.256	0.22	0.307	0.562	-0.832	0.724	NoDiff
SFXN5	0.055	3.972	1.376	7.674	0.179	-2.48	0.98	ExcludedFromTesting
SGCB	0.06	0.97	1.012	0.91	1.21	0.275	0.638	NoDiff
SGOL1	0.068	2.371	2.121	2.727	0.742	-0.431	0.442	NoDiff
SGOL2	0.111	0.684	0.643	0.741	0.856	-0.224	0.492	ExcludedFromTesting
SGPP2	0.133	1.011	1.009	1.012	1.065	0.091	0.231	NoDiff
SH2D2A	0.077	2.255	2.404	2.044	1.178	0.236	0.387	ExcludedFromTesting
SH3BGRL3	9.979	0.171	0.165	0.179	0.921	-0.118	0	NoDiff
SH3BP2	0.209	0.628	0.544	0.749	0.709	-0.495	0.442	NoDiff
SH3BP5	0.509	0.643	0.679	0.591	1.144	0.194	0.025	NoDiff
SH3BP5-AS1	0.009	3.531	3.662	3.345	0.944	-0.083	0.814	NoDiff
SH3BP5L	0.071	0.317	0.298	0.344	0.938	-0.093	0.709	NoDiff
SH3D21	0.035	1.837	1.965	1.654	1.177	0.235	0.593	ExcludedFromTesting
SH3GLB1	1.975	0.087	0.097	0.073	1.33	0.412	0.281	NoDiff
SH3RF3	0.013	6.976	2.818	12.905	0.199	-2.327	0.925	ExcludedFromTesting
SH3RF3-AS1	0.02	13.852	13.21	14.768	0.921	-0.118	0.704	ExcludedFromTesting
SH3TC1	0.177	3.015	2.623	3.575	0.753	-0.409	0.281	ExcludedFromTesting
SH3YL1	0.227	0.532	0.608	0.424	1.404	0.49	0.437	NoDiff
SHC1	0.237	0.388	0.395	0.377	1.05	0.07	0.377	NoDiff
SHE	0.001	33.621	46.004	15.965	3.065	1.616	0.864	NoDiff
SHISA3	0.026	15	10.624	21.24	0.494	-1.017	0.774	NoDiff
SHISA4	0.003	15.544	16.619	14.01	1.407	0.492	0.854	ExcludedFromTesting
SHISA5	1.148	0.272	0.233	0.328	0.706	-0.503	0.307	NoDiff
SHOX2	0.035	4.955	6.763	2.377	2.916	1.544	0.824	ExcludedFromTesting
SHQ1	0.09	0.2	0.094	0.351	0.268	-1.902	0.824	NoDiff
SHROOM3	0.02	11.5	12.576	9.966	1.166	0.222	0.397	NoDiff
SIAH2	0.667	0.881	0.691	1.152	0.607	-0.719	0.819	NoDiff
SIDT1	0.135	0.186	0.139	0.254	0.639	-0.647	0.719	NoDiff
SIDT1-AS1	0.169	0.356	0.382	0.318	1.179	0.238	0.523	NoDiff
SIKE1	0.497	0.113	0.13	0.087	1.445	0.531	0.513	NoDiff
SIX3	0.006	964.893	6.417	2331.571	0.003	-8.42	1	GM18502+
SKI	0.028	0.704	0.931	0.381	2.344	1.229	0.794	NoDiff
SKIL	0.468	1.124	1.135	1.108	1.023	0.033	0.005	NoDiff
SLAIN2	0.258	0.09	0.075	0.111	0.756	-0.403	0.658	NoDiff
SLAMF1	1.272	1.119	1.312	0.845	1.551	0.633	0.663	ExcludedFromTesting
SLAMF6	0.162	0.734	0.95	0.426	2.274	1.185	0.824	NoDiff
SLAMF7	1.402	0.657	0.528	0.842	0.63	-0.667	0.764	ExcludedFromTesting
SLAMF8	0.006	7.53	11.734	1.535	8.697	3.121	0.92	ExcludedFromTesting
SLBP	0.8	0.59	0.583	0.6	0.978	-0.032	0.01	NoDiff
SLC11A1	0.027	2.013	1.672	2.5	0.726	-0.463	0.709	NoDiff
SLC12A8	0.72	1.081	1.19	0.925	1.292	0.37	0.04	NoDiff
SLC15A2	0.062	1.106	1.288	0.846	1.545	0.627	0.683	ExcludedFromTesting
SLC16A1	0.151	0.641	0.785	0.435	1.889	0.917	0.724	NoDiff
SLC16A1-AS1	0.419	0.425	0.434	0.411	1.089	0.123	0.09	NoDiff
SLC16A14	0.011	2.136	2.691	1.344	2.485	1.313	0.839	NoDiff
SLC16A4	0.04	0.981	1.372	0.424	3.827	1.936	0.819	NoDiff
SLC19A2	0.02	2.019	2.731	1.004	3.118	1.641	0.794	NoDiff
SLC1A4	0.384	0.923	0.878	0.987	0.894	-0.162	0.035	NoDiff
SLC20A1	0.073	1.607	2.134	0.855	2.448	1.292	0.874	NoDiff
SLC23A3	0.006	7.025	9.566	3.402	2.836	1.504	0.829	NoDiff
SLC25A12	0.133	0.124	0.1	0.158	0.611	-0.71	0.789	NoDiff
SLC25A20	0.135	0.324	0.257	0.42	0.598	-0.742	0.668	NoDiff
SLC25A24	0.011	7.061	3.49	12.153	0.307	-1.703	0.819	ExcludedFromTesting
SLC25A26	0.657	0.051	0.073	0.019	3.643	1.865	0.864	NoDiff
SLC25A33	0.492	0.446	0.502	0.366	1.395	0.481	0.337	NoDiff
SLC25A34	0.003	21.106	25.2	15.269	1.924	0.944	0.779	NoDiff
SLC25A36	0.391	0.124	0.059	0.216	0.263	-1.927	0.849	NoDiff
SLC25A38	0.411	0.166	0.149	0.19	0.786	-0.348	0.397	NoDiff
SLC25A44	0.15	0.126	0.15	0.092	1.696	0.763	0.719	NoDiff
SLC26A6	0.065	0.25	0.268	0.223	1.209	0.274	0.693	NoDiff
SLC26A9	0	19.974	19.39	20.807	1.78	0.832	0.864	NoDiff
SLC27A3	0.111	1.098	1.222	0.92	1.407	0.493	0.518	NoDiff
SLC2A1	0.151	0.447	0.25	0.729	0.362	-1.466	0.915	NoDiff
SLC2A1-AS1	0.019	3.464	5.155	1.052	5.006	2.324	0.899	NoDiff
SLC2A5	0.247	2.247	2.164	2.365	0.917	-0.126	0.005	NoDiff
SLC2A9	0.007	4.093	3.786	4.529	0.779	-0.36	0.759	NoDiff
SLC30A1	0.124	0.309	0.417	0.155	2.958	1.565	0.814	NoDiff
SLC30A6	0.102	0.248	0.267	0.221	1.201	0.264	0.678	NoDiff
SLC30A7	0.299	0.21	0.3	0.081	3.772	1.915	0.899	NoDiff
SLC30A9	0.301	0.083	0.08	0.087	0.966	-0.049	0.628	NoDiff
SLC33A1	0.297	0.805	0.773	0.85	0.884	-0.178	0.191	ExcludedFromTesting
SLC35A3	0.184	0.209	0.288	0.097	3.112	1.638	0.854	NoDiff
SLC35A5	0.183	0.162	0.16	0.164	0.975	-0.036	0.724	NoDiff
SLC35D1	0.109	0.558	0.342	0.866	0.421	-1.247	0.834	NoDiff
SLC35E2	0.043	0.468	0.271	0.75	0.357	-1.485	0.804	ExcludedFromTesting
SLC35E2B	0.237	0.225	0.285	0.14	1.969	0.977	0.714	NoDiff
SLC35F3	0.018	6.773	10.763	1.084	10.19	3.349	0.995	ExcludedFromTesting
SLC35F5	0.094	0.313	0.431	0.144	2.928	1.55	0.859	NoDiff
SLC35F6	0.149	0.313	0.366	0.237	1.667	0.737	0.693	NoDiff
SLC35G2	0.063	0.594	0.72	0.414	1.676	0.745	0.693	NoDiff
SLC39A1	0.797	0.235	0.279	0.171	1.659	0.73	0.693	NoDiff
SLC39A10	0.085	0.893	0.901	0.881	1.069	0.096	0.573	NoDiff
SLC39A8	0.367	0.423	0.501	0.312	1.64	0.714	0.638	NoDiff
SLC41A1	0.023	2.539	3.503	1.165	3.025	1.597	0.879	ExcludedFromTesting
SLC41A3	0.196	0.235	0.221	0.255	0.91	-0.135	0.598	NoDiff
SLC45A1	0.003	13.157	15.516	9.794	1.845	0.884	0.789	NoDiff
SLC45A3	0.014	7.641	11.396	2.287	5.041	2.334	0.955	ExcludedFromTesting
SLC4A1AP	0.218	0.235	0.246	0.22	1.049	0.069	0.492	NoDiff
SLC4A5	0.015	10.467	8.93	12.658	0.757	-0.401	0.809	ExcludedFromTesting
SLC4A7	0.129	0.849	1.199	0.349	3.588	1.843	0.965	GM12878+
SLC50A1	0.694	0.319	0.399	0.204	1.96	0.971	0.879	NoDiff
SLC51A	0.007	4.624	3.941	5.597	0.657	-0.606	0.724	NoDiff
SLC5A6	0.2	1.375	1.716	0.89	1.91	0.934	0.894	NoDiff
SLC6A6	0.097	0.994	1.31	0.543	2.475	1.307	0.819	NoDiff
SLC6A9	0.017	12.365	4.687	23.313	0.19	-2.397	0.95	NoDiff
SLC9A1	0.06	0.323	0.309	0.343	1.059	0.082	0.638	NoDiff
SLC9A2	0.004	9.896	6.49	14.752	0.491	-1.026	0.769	NoDiff
SLC9A9	0.075	0.687	0.579	0.842	0.716	-0.481	0.578	NoDiff
SLC9B1	0.032	0.539	0.554	0.519	0.937	-0.095	0.698	NoDiff
SLC9B2	0.131	0.237	0.15	0.361	0.407	-1.298	0.749	NoDiff
SLFNL1-AS1	0.001	13.91	14.795	12.647	1.173	0.23	0.749	ExcludedFromTesting
SLMAP	0.337	0.067	0.046	0.098	0.51	-0.973	0.739	NoDiff
SMAP2	1.496	0.2	0.213	0.181	1.177	0.235	0.05	NoDiff
SMARCAD1	0.158	0.155	0.103	0.23	0.479	-1.063	0.774	NoDiff
SMARCAL1	0.095	0.102	0.119	0.079	1.714	0.777	0.764	NoDiff
SMARCC1	1.28	0.218	0.21	0.23	0.92	-0.12	0.025	NoDiff
SMC4	0.713	0.543	0.483	0.627	0.779	-0.361	0.116	NoDiff
SMC6	0.498	0.281	0.257	0.314	0.854	-0.228	0.276	NoDiff
SMG5	0.109	0.192	0.275	0.073	4.698	2.232	0.915	NoDiff
SMG7	0.165	0.148	0.131	0.171	0.744	-0.427	0.668	NoDiff
SMIM1	0.061	2.133	1.602	2.89	0.557	-0.844	0.673	ExcludedFromTesting
SMIM12	1.013	0.049	0.047	0.053	0.897	-0.156	0.437	NoDiff
SMIM14	2.457	2.155	1.927	2.481	0.778	-0.361	0	ExcludedFromTesting
SMIM20	1.273	0.127	0.122	0.135	0.906	-0.142	0.146	NoDiff
SMIM4	0.455	0.28	0.303	0.246	1.226	0.294	0.256	NoDiff
SMPD4	0.135	0.428	0.575	0.22	2.631	1.396	0.844	NoDiff
SMPDL3B	0.008	4.08	3.813	4.46	0.828	-0.272	0.774	NoDiff
SMYD2	0.287	0.119	0.124	0.113	1.223	0.29	0.633	NoDiff
SMYD3	0.195	0.582	0.888	0.146	6.213	2.635	1	GM12878+
SMYD5	0.048	0.365	0.245	0.537	0.471	-1.087	0.819	NoDiff
SNAP47	0.394	0.084	0.1	0.061	1.509	0.593	0.668	NoDiff
SNAPIN	0.989	0.032	0.037	0.024	1.494	0.579	0.683	NoDiff
SNED1	0.008	5.021	5.315	4.602	1.323	0.404	0.809	NoDiff
SNHG12	0.219	0.822	0.616	1.117	0.554	-0.852	0.789	ExcludedFromTesting
SNIP1	0.071	0.255	0.295	0.196	1.4	0.485	0.809	NoDiff
SNRK	0.072	0.417	0.261	0.64	0.44	-1.185	0.819	NoDiff
SNRNP200	0.489	0.069	0.063	0.078	0.881	-0.183	0.633	NoDiff
SNRNP27	0.66	0.041	0.038	0.046	0.933	-0.1	0.538	NoDiff
SNRNP40	0.908	0.119	0.103	0.141	0.727	-0.459	0.372	NoDiff
SNRPE	4.652	0.117	0.147	0.075	1.983	0.988	0.99	GM12878+
SNRPG	4.549	0.142	0.136	0.15	0.912	-0.133	0.005	NoDiff
SNTG2	0.003	35.009	42.897	23.762	2.037	1.026	0.804	NoDiff
SNX17	1.413	0.035	0.041	0.026	1.647	0.72	0.633	NoDiff
SNX27	0.158	0.203	0.283	0.089	3.124	1.643	0.824	NoDiff
