GeneName	MeanOverall	Mean1	Mean2	MeanFC	MeanLog2FC	ProbDiffMean	ResultDiffMean
RPL34	85.291	84.289	86.721	0.972	-0.042	0	NoDiff
RPL34-AS1	0.002	0.003	0.002	1.659	0.73	0.643	NoDiff
RPL35A	56.936	55.532	58.936	0.94	-0.089	0	NoDiff
RPL37A	71.494	67.774	76.797	0.881	-0.183	0	NoDiff
RPL39L	0.323	0.243	0.438	0.555	-0.848	1	GM18502+
RPL5	65.288	61.847	70.195	0.882	-0.18	0	NoDiff
RPL9	81.711	78.493	86.3	0.908	-0.139	0	NoDiff
RPN1	0.886	1.096	0.587	1.856	0.892	1	GM12878+
RPP14	0.091	0.082	0.104	0.785	-0.35	0.196	NoDiff
RPRD2	0.184	0.204	0.155	1.308	0.388	0	NoDiff
RPRM	0.001	0.001	0.001	1.219	0.286	0	NoDiff
RPS27	116.726	117.881	115.079	1.031	0.044	0	NoDiff
RPS27A	107.196	100.839	116.261	0.872	-0.198	0	NoDiff
RPS6KA1	0.767	0.687	0.881	0.778	-0.362	0	NoDiff
RPS6KC1	0.054	0.06	0.045	1.315	0.395	0.116	NoDiff
RPS7	85.585	81.574	91.304	0.893	-0.163	0	NoDiff
RPS8	108.933	104.544	115.19	0.91	-0.135	0	NoDiff
RPSA	91.666	87.873	97.074	0.909	-0.137	0	NoDiff
RPUSD3	0.606	0.593	0.625	0.949	-0.075	0	NoDiff
RQCD1	0.482	0.416	0.576	0.722	-0.47	0.01	NoDiff
RRAGC	0.436	0.434	0.44	0.991	-0.013	0	NoDiff
RRM2	0.375	0.261	0.538	0.487	-1.038	1	GM18502+
RRNAD1	0.199	0.209	0.183	1.146	0.197	0	NoDiff
RRP15	0.314	0.305	0.328	0.93	-0.104	0	NoDiff
RRP9	0.349	0.308	0.408	0.753	-0.41	0	NoDiff
RSAD2	0.054	0.038	0.076	0.497	-1.01	0.965	GM18502+
RSBN1	0.331	0.338	0.322	1.048	0.068	0	NoDiff
RSG1	0.02	0.02	0.021	0.943	-0.084	0.015	NoDiff
RSRC1	0.543	0.53	0.561	0.947	-0.079	0	NoDiff
RSRP1	1.236	1.387	1.022	1.349	0.431	0	NoDiff
RTCA	1.013	0.987	1.05	0.936	-0.095	0	NoDiff
RTCA-AS1	0.005	0.005	0.004	1.319	0.4	0.327	NoDiff
RTKN	0.055	0.041	0.075	0.546	-0.873	0.97	GM18502+
RTN4	1.914	1.653	2.286	0.724	-0.466	0	NoDiff
RTP4	0.157	0.128	0.198	0.649	-0.624	0.693	NoDiff
RUBCN	0.282	0.278	0.288	0.962	-0.056	0	NoDiff
RUFY3	0.209	0.265	0.13	2.026	1.018	1	GM12878+
RUFY4	0.004	0.004	0.003	1.315	0.395	0.407	NoDiff
RUNX3	1.127	1.053	1.233	0.856	-0.224	0	NoDiff
RUSC1	0.118	0.115	0.121	0.939	-0.091	0.05	NoDiff
RUSC1-AS1	0.007	0.006	0.008	0.752	-0.412	0.286	NoDiff
RUVBL1	0.646	0.486	0.875	0.56	-0.837	1	GM18502+
RWDD3	0.027	0.026	0.03	0.859	-0.22	0.045	NoDiff
RYBP	0.234	0.272	0.18	1.514	0.599	0.588	NoDiff
RYK	0.058	0.06	0.056	1.066	0.093	0.085	NoDiff
S100A10	0.381	0.283	0.522	0.54	-0.889	1	GM18502+
S100A11	2.719	1.327	4.704	0.282	-1.824	1	GM18502+
S100A13	0.144	0.196	0.071	2.756	1.463	1	GM12878+
S100A14	0.01	0.01	0.009	1.207	0.272	0.181	NoDiff
S100A2	0.011	0.008	0.015	0.552	-0.857	0.864	NoDiff
S100A4	1.132	0.725	1.713	0.423	-1.242	1	GM18502+
S100A5	0.005	0.003	0.008	0.352	-1.507	0.985	GM18502+
S100A6	1.737	1.436	2.166	0.662	-0.595	0.573	NoDiff
S100A9	0.014	0.009	0.021	0.431	-1.215	0.925	NoDiff
S100PBP	0.359	0.369	0.345	1.071	0.099	0	NoDiff
S1PR1	0.198	0.236	0.144	1.634	0.708	0.935	NoDiff
SACM1L	0.114	0.132	0.088	1.518	0.603	0.558	NoDiff
SAG	0.003	0.003	0.002	1.583	0.662	0.563	NoDiff
SAMD11	0.002	0.002	0.002	0.877	-0.19	0.357	NoDiff
SAMD13	0.01	0.013	0.005	2.81	1.491	0.99	GM12878+
SAMD7	0.004	0.004	0.004	1.024	0.034	0.231	NoDiff
SAP130	0.066	0.066	0.067	0.997	-0.004	0.055	NoDiff
SARS	1.019	1.085	0.925	1.177	0.235	0	NoDiff
SASS6	0.122	0.12	0.126	0.942	-0.085	0.05	NoDiff
SATB1	0.003	0.003	0.002	1.953	0.966	0.719	NoDiff
SCAANT1	0.004	0.005	0.002	2.36	1.239	0.92	NoDiff
SCAMP3	0.605	0.577	0.644	0.899	-0.154	0	NoDiff
SCAP	0.161	0.159	0.163	0.981	-0.028	0	NoDiff
SCARB2	0.457	0.607	0.244	2.48	1.311	1	GM12878+
SCARNA2	0.006	0.006	0.006	1.08	0.11	0.166	NoDiff
SCCPDH	0.479	0.384	0.616	0.625	-0.679	0.985	GM18502+
SCD5	0.08	0.081	0.079	1.025	0.035	0.08	NoDiff
SCFD2	0.072	0.075	0.067	1.136	0.184	0.101	NoDiff
SCLY	0.063	0.045	0.088	0.511	-0.968	1	GM18502+
SCMH1	0.09	0.08	0.105	0.766	-0.385	0.04	NoDiff
SCN11A	0.003	0.003	0.004	0.707	-0.5	0.467	NoDiff
SCN3A	0.003	0.003	0.003	0.943	-0.085	0.251	NoDiff
SCNM1	0.783	0.728	0.86	0.846	-0.242	0	NoDiff
SCNN1D	0.003	0.003	0.003	1.096	0.133	0.357	NoDiff
SCP2	1.743	1.722	1.773	0.971	-0.043	0	NoDiff
SCRN3	0.07	0.07	0.071	0.979	-0.03	0.025	NoDiff
SCYL3	0.114	0.132	0.088	1.498	0.583	0.492	NoDiff
SDAD1	0.602	0.576	0.64	0.901	-0.151	0	NoDiff
SDC1	0.19	0.228	0.135	1.687	0.754	0.925	NoDiff
SDC3	0.001	0.001	0.002	0.336	-1.574	0.98	GM18502+
SDCCAG8	0.614	0.62	0.605	1.017	0.025	0	NoDiff
SDE2	0.089	0.101	0.072	1.422	0.507	0.211	NoDiff
SDF4	1.226	1.341	1.062	1.256	0.329	0	NoDiff
SDHB	1.677	1.529	1.888	0.811	-0.302	0	NoDiff
SDHC	2.269	2.243	2.307	0.969	-0.046	0	NoDiff
SEC13	0.985	1.115	0.8	1.407	0.493	0.01	NoDiff
SEC22A	0.156	0.169	0.139	1.214	0.279	0	NoDiff
SEC22B	0.637	0.703	0.542	1.294	0.372	0	NoDiff
SEC22C	0.335	0.325	0.349	0.931	-0.104	0	NoDiff
SEC24B	0.055	0.058	0.051	1.141	0.19	0.025	NoDiff
SEC24B-AS1	0.026	0.022	0.031	0.707	-0.5	0.317	NoDiff
SEC31A	0.813	0.962	0.602	1.592	0.671	0.99	GM12878+
SEC61A1	1.12	1.336	0.813	1.635	0.71	1	GM12878+
SEC62	4.159	4.75	3.317	1.432	0.518	0	NoDiff
SEL1L3	0.612	0.819	0.316	2.582	1.368	1	GM12878+
SELK	3.265	3.948	2.292	1.727	0.788	1	GM12878+
SELL	0.775	0.628	0.985	0.635	-0.654	0.93	NoDiff
SELT	3.513	3.763	3.157	1.185	0.245	0	NoDiff
SEMA4A	0.919	1.177	0.551	2.142	1.099	1	GM12878+
SEMA4C	0.029	0.024	0.037	0.644	-0.634	0.623	NoDiff
SEMA4F	0.014	0.014	0.014	1.006	0.009	0.02	NoDiff
SEMA6C	0.001	0.002	0	5.076	2.344	1	GM12878+
SENP2	0.228	0.235	0.218	1.081	0.113	0	NoDiff
SENP5	0.262	0.269	0.251	1.065	0.091	0	NoDiff
SENP7	0.074	0.073	0.074	0.982	-0.026	0.025	NoDiff
SEP15	2.326	2.533	2.031	1.242	0.312	0	NoDiff
SEPN1	0.007	0.005	0.009	0.552	-0.857	0.829	NoDiff
SEPSECS	0.048	0.052	0.042	1.236	0.306	0.09	NoDiff
SEPSECS-AS1	0.076	0.083	0.066	1.258	0.331	0.04	NoDiff
SEPT10	0.417	0.406	0.432	0.94	-0.09	0	NoDiff
SEPT11	1.042	1.006	1.094	0.914	-0.13	0	NoDiff
SEPT2	1.215	1.24	1.179	1.046	0.065	0	NoDiff
SERBP1	5.812	5.1	6.828	0.74	-0.434	0	NoDiff
SERINC2	0.041	0.029	0.057	0.519	-0.946	0.985	GM18502+
SERP1	11.606	14.758	7.112	2.075	1.053	1	GM12878+
SERPINE2	0.008	0.003	0.015	0.215	-2.217	1	GM18502+
SERPINI1	0.088	0.109	0.058	1.869	0.902	0.995	GM12878+
SERTAD2	0.161	0.164	0.158	1.034	0.048	0	NoDiff
SESN2	0.183	0.204	0.154	1.328	0.41	0.025	NoDiff
SESTD1	0.068	0.071	0.062	1.137	0.185	0.04	NoDiff
SETD2	0.302	0.31	0.292	1.046	0.065	0	NoDiff
SETD5	0.506	0.501	0.513	0.976	-0.035	0	NoDiff
SETDB1	0.099	0.099	0.099	0.993	-0.01	0	NoDiff
SETMAR	0.068	0.053	0.091	0.575	-0.799	0.96	GM18502+
SF3A3	0.539	0.523	0.56	0.937	-0.093	0	NoDiff
SF3B1	1.083	1.139	1.002	1.133	0.18	0	NoDiff
SF3B4	0.669	0.68	0.653	1.043	0.061	0	NoDiff
SF3B6	4.023	3.63	4.582	0.79	-0.34	0	NoDiff
SFMBT1	0.116	0.147	0.073	2.045	1.032	1	GM12878+
SFN	0.081	0.115	0.032	3.478	1.798	0.995	GM12878+
SFPQ	2.062	1.929	2.251	0.859	-0.219	0	NoDiff
SFT2D2	0.344	0.344	0.343	1.002	0.003	0	NoDiff
SFT2D3	0.097	0.092	0.103	0.895	-0.161	0.03	NoDiff
SFXN5	0.055	0.084	0.015	5.758	2.526	1	GM12878+
SGCB	0.06	0.066	0.052	1.248	0.32	0.111	NoDiff
SGOL1	0.068	0.055	0.087	0.633	-0.659	0.804	NoDiff
SGOL2	0.111	0.077	0.16	0.483	-1.051	1	GM18502+
SGPP2	0.133	0.114	0.162	0.71	-0.494	0.151	NoDiff
SH2D2A	0.077	0.042	0.127	0.331	-1.594	1	GM18502+
SH3BGRL3	9.979	9.733	10.331	0.943	-0.085	0	NoDiff
SH3BP2	0.209	0.175	0.257	0.68	-0.556	0.362	NoDiff
SH3BP5	0.509	0.479	0.554	0.869	-0.202	0	NoDiff
SH3BP5-AS1	0.009	0.01	0.007	1.578	0.658	0.578	NoDiff
SH3BP5L	0.071	0.062	0.085	0.732	-0.45	0.181	NoDiff
SH3D21	0.035	0.025	0.049	0.504	-0.988	0.985	GM18502+
SH3GLB1	1.975	2.053	1.865	1.094	0.13	0	NoDiff
SH3RF3	0.013	0.019	0.005	3.683	1.881	1	GM12878+
SH3RF3-AS1	0.02	0.031	0.003	9.974	3.318	1	GM12878+
SH3TC1	0.177	0.235	0.094	2.489	1.315	1	GM12878+
SH3YL1	0.227	0.246	0.201	1.213	0.278	0	NoDiff
SHC1	0.237	0.263	0.2	1.313	0.393	0.005	NoDiff
SHE	0.001	0.001	0.001	1.218	0.284	0	NoDiff
SHISA3	0.026	0.031	0.019	1.618	0.694	0.693	NoDiff
SHISA4	0.003	0.001	0.006	0.139	-2.842	1	GM18502+
SHISA5	1.148	1.094	1.226	0.896	-0.158	0	NoDiff
SHOX2	0.035	0.013	0.065	0.205	-2.284	0.965	GM18502+
SHQ1	0.09	0.091	0.088	1.028	0.039	0.136	NoDiff
SHROOM3	0.02	0.015	0.026	0.593	-0.754	0.729	NoDiff
SIAH2	0.667	0.631	0.72	0.878	-0.188	0	NoDiff
SIDT1	0.135	0.132	0.14	0.95	-0.075	0	NoDiff
SIDT1-AS1	0.169	0.179	0.154	1.156	0.209	0	NoDiff
SIKE1	0.497	0.492	0.506	0.974	-0.038	0	NoDiff
SIX3	0.006	0.004	0.009	0.383	-1.384	0.824	NoDiff
SKI	0.028	0.026	0.031	0.866	-0.208	0.025	NoDiff
SKIL	0.468	0.535	0.372	1.437	0.523	0.216	NoDiff
SLAIN2	0.258	0.266	0.247	1.07	0.098	0	NoDiff
SLAMF1	1.272	0.994	1.669	0.59	-0.761	1	GM18502+
SLAMF6	0.162	0.163	0.159	1.021	0.03	0	NoDiff
SLAMF7	1.402	1.756	0.897	1.957	0.968	1	GM12878+
SLAMF8	0.006	0.003	0.011	0.308	-1.7	1	GM18502+
SLBP	0.8	0.747	0.877	0.852	-0.231	0	NoDiff
SLC11A1	0.027	0.029	0.023	1.247	0.319	0.126	NoDiff
SLC12A8	0.72	0.649	0.82	0.788	-0.343	0	NoDiff
SLC15A2	0.062	0.084	0.03	2.789	1.48	0.985	GM12878+
SLC16A1	0.151	0.123	0.19	0.645	-0.632	0.688	NoDiff
SLC16A1-AS1	0.419	0.375	0.484	0.768	-0.38	0	NoDiff
SLC16A14	0.011	0.012	0.009	1.268	0.343	0.201	NoDiff
SLC16A4	0.04	0.046	0.031	1.459	0.545	0.447	NoDiff
SLC19A2	0.02	0.018	0.023	0.79	-0.34	0.206	NoDiff
SLC1A4	0.384	0.393	0.371	1.06	0.084	0	NoDiff
SLC20A1	0.073	0.059	0.094	0.628	-0.671	0.764	NoDiff
SLC23A3	0.006	0.005	0.008	0.568	-0.817	0.719	NoDiff
SLC25A12	0.133	0.132	0.135	0.971	-0.043	0	NoDiff
SLC25A20	0.135	0.149	0.115	1.296	0.374	0.141	NoDiff
SLC25A24	0.011	0.015	0.005	2.969	1.57	1	GM12878+
SLC25A26	0.657	0.654	0.661	0.993	-0.01	0	NoDiff
SLC25A33	0.492	0.416	0.601	0.688	-0.539	0.151	NoDiff
SLC25A34	0.003	0.003	0.003	0.877	-0.189	0.367	NoDiff
SLC25A36	0.391	0.337	0.468	0.723	-0.468	0	NoDiff
SLC25A38	0.411	0.378	0.458	0.825	-0.277	0	NoDiff
SLC25A44	0.15	0.149	0.152	0.981	-0.027	0	NoDiff
SLC26A6	0.065	0.063	0.068	0.931	-0.103	0.04	NoDiff
SLC26A9	0	0	0	0.967	-0.049	0	NoDiff
SLC27A3	0.111	0.129	0.086	1.497	0.582	0.497	NoDiff
SLC2A1	0.151	0.143	0.163	0.879	-0.187	0	NoDiff
SLC2A1-AS1	0.019	0.019	0.018	1.071	0.099	0.03	NoDiff
SLC2A5	0.247	0.269	0.217	1.244	0.315	0	NoDiff
SLC2A9	0.007	0.007	0.007	1.074	0.103	0.191	NoDiff
SLC30A1	0.124	0.107	0.147	0.731	-0.451	0.131	NoDiff
SLC30A6	0.102	0.119	0.078	1.522	0.606	0.623	NoDiff
SLC30A7	0.299	0.334	0.25	1.341	0.424	0.005	NoDiff
SLC30A9	0.301	0.261	0.358	0.73	-0.455	0	NoDiff
SLC33A1	0.297	0.389	0.166	2.336	1.224	1	GM12878+
SLC35A3	0.184	0.19	0.176	1.086	0.119	0	NoDiff
SLC35A5	0.183	0.214	0.139	1.532	0.616	0.683	NoDiff
SLC35D1	0.109	0.094	0.13	0.728	-0.458	0.126	NoDiff
SLC35E2	0.043	0.058	0.021	2.688	1.426	1	GM12878+
SLC35E2B	0.237	0.25	0.218	1.148	0.199	0	NoDiff
SLC35F3	0.018	0.01	0.03	0.347	-1.526	1	GM18502+
SLC35F5	0.094	0.098	0.089	1.088	0.122	0.161	NoDiff
SLC35F6	0.149	0.167	0.124	1.337	0.419	0.03	NoDiff
SLC35G2	0.063	0.064	0.061	1.03	0.043	0.166	NoDiff
SLC39A1	0.797	0.647	1.011	0.638	-0.649	0.95	NoDiff
SLC39A10	0.085	0.083	0.086	0.953	-0.07	0.06	NoDiff
SLC39A8	0.367	0.308	0.45	0.685	-0.546	0.256	NoDiff
SLC41A1	0.023	0.012	0.039	0.31	-1.689	0.955	GM18502+
SLC41A3	0.196	0.17	0.232	0.734	-0.447	0.035	NoDiff
SLC45A1	0.003	0.003	0.003	0.942	-0.087	0.347	NoDiff
SLC45A3	0.014	0.009	0.021	0.397	-1.333	0.995	GM18502+
SLC4A1AP	0.218	0.237	0.19	1.249	0.321	0	NoDiff
SLC4A5	0.015	0.023	0.003	8.7	3.121	1	GM12878+
SLC4A7	0.129	0.111	0.156	0.712	-0.49	0.156	NoDiff
SLC50A1	0.694	0.683	0.71	0.959	-0.06	0	NoDiff
SLC51A	0.007	0.008	0.006	1.364	0.448	0.337	NoDiff
SLC5A6	0.2	0.187	0.219	0.853	-0.23	0	NoDiff
SLC6A6	0.097	0.096	0.099	0.961	-0.058	0.035	NoDiff
SLC6A9	0.017	0.021	0.011	1.905	0.93	0.879	NoDiff
SLC9A1	0.06	0.056	0.065	0.87	-0.202	0.015	NoDiff
SLC9A2	0.004	0.003	0.006	0.582	-0.782	0.673	NoDiff
SLC9A9	0.075	0.084	0.063	1.328	0.409	0.136	NoDiff
SLC9B1	0.032	0.033	0.029	1.143	0.193	0.04	NoDiff
SLC9B2	0.131	0.112	0.158	0.706	-0.502	0.156	NoDiff
SLFNL1-AS1	0.001	0	0.003	0.155	-2.692	1	GM18502+
SLMAP	0.337	0.319	0.364	0.875	-0.193	0	NoDiff
SMAP2	1.496	1.332	1.728	0.767	-0.382	0	NoDiff
SMARCAD1	0.158	0.159	0.157	1.02	0.028	0	NoDiff
SMARCAL1	0.095	0.098	0.091	1.072	0.1	0.075	NoDiff
SMARCC1	1.28	1.32	1.222	1.085	0.117	0	NoDiff
SMC4	0.713	0.696	0.738	0.94	-0.089	0	NoDiff
SMC6	0.498	0.543	0.434	1.258	0.332	0	NoDiff
SMG5	0.109	0.1	0.121	0.838	-0.255	0.221	NoDiff
SMG7	0.165	0.167	0.162	1.032	0.045	0	NoDiff
SMIM1	0.061	0.077	0.038	2.065	1.046	1	GM12878+
SMIM12	1.013	0.963	1.084	0.883	-0.179	0	NoDiff
SMIM14	2.457	1.864	3.303	0.564	-0.826	1	GM18502+
SMIM20	1.273	1.357	1.152	1.174	0.232	0	NoDiff
SMIM4	0.455	0.452	0.458	0.985	-0.022	0	NoDiff
SMPD4	0.135	0.13	0.143	0.901	-0.15	0	NoDiff
SMPDL3B	0.008	0.007	0.009	0.82	-0.287	0.246	NoDiff
SMYD2	0.287	0.251	0.338	0.745	-0.425	0	NoDiff
SMYD3	0.195	0.183	0.213	0.854	-0.228	0	NoDiff
SMYD5	0.048	0.044	0.053	0.822	-0.283	0.08	NoDiff
SNAP47	0.394	0.39	0.4	0.981	-0.028	0	NoDiff
SNAPIN	0.989	0.904	1.109	0.814	-0.297	0	NoDiff
SNED1	0.008	0.007	0.009	0.851	-0.233	0.166	NoDiff
SNHG12	0.219	0.168	0.293	0.569	-0.813	1	GM18502+
SNIP1	0.071	0.074	0.066	1.109	0.149	0.015	NoDiff
SNRK	0.072	0.08	0.061	1.319	0.399	0.156	NoDiff
SNRNP200	0.489	0.486	0.494	0.987	-0.018	0	NoDiff
SNRNP27	0.66	0.678	0.633	1.066	0.092	0	NoDiff
SNRNP40	0.908	0.792	1.073	0.738	-0.439	0	NoDiff
SNRPE	4.652	4.042	5.523	0.733	-0.447	0	NoDiff
SNRPG	4.549	3.957	5.392	0.734	-0.446	0	NoDiff
SNTG2	0.003	0.002	0.004	0.583	-0.778	0.688	NoDiff
SNX17	1.413	1.427	1.394	1.025	0.036	0	NoDiff
SNX27	0.158	0.16	0.155	1.03	0.043	0	NoDiff
SNX4	0.551	0.473	0.662	0.713	-0.488	0.01	NoDiff
SNX7	0.006	0.005	0.007	0.803	-0.317	0.291	NoDiff
SOAT1	0.117	0.104	0.136	0.759	-0.397	0.101	NoDiff
SOCS5	0.036	0.035	0.037	0.931	-0.102	0.131	NoDiff
SORT1	0.067	0.091	0.033	2.728	1.448	0.985	GM12878+
SOS1	0.116	0.126	0.101	1.25	0.322	0.176	NoDiff
SOWAHC	0.048	0.016	0.094	0.17	-2.555	0.98	GM18502+
SOX11	0.007	0.001	0.015	0.041	-4.614	1	GM18502+
SP100	2.48	2.565	2.359	1.08	0.111	0	NoDiff
SP110	0.86	0.895	0.81	1.109	0.149	0	NoDiff
SP140	1.295	1.171	1.472	0.788	-0.344	0	NoDiff
SP140L	0.328	0.302	0.365	0.826	-0.276	0	NoDiff
SP3	0.269	0.29	0.239	1.222	0.289	0	NoDiff
SPAG16	0.256	0.25	0.265	0.939	-0.091	0	NoDiff
SPAST	0.069	0.073	0.062	1.189	0.25	0.035	NoDiff
SPATA17	0	0.001	0	1.574	0.655	1	GM12878+
SPATA18	0.007	0.007	0.006	1.317	0.397	0.307	NoDiff
SPATA21	0.002	0.003	0.002	1.491	0.576	0.503	NoDiff
SPATA3-AS1	0.022	0.012	0.037	0.321	-1.638	1	GM18502+
SPATA45	0.004	0.004	0.004	1.079	0.109	0.256	NoDiff
SPATS2L	0.219	0.308	0.093	3.313	1.728	1	GM12878+
SPC25	0.039	0.032	0.051	0.624	-0.681	0.709	NoDiff
SPCS1	16.29	19.195	12.147	1.581	0.661	1	GM12878+
SPEG	0.003	0.003	0.002	1.447	0.533	0.477	NoDiff
SPEN	0.348	0.346	0.352	0.977	-0.033	0	NoDiff
SPICE1	0.041	0.045	0.036	1.256	0.328	0.065	NoDiff
SPINK2	0.051	0.065	0.032	2.06	1.043	0.945	NoDiff
SPOCD1	0.004	0.005	0.004	1.237	0.307	0.457	NoDiff
SPON2	0.27	0.162	0.424	0.381	-1.394	1	GM18502+
SPOPL	0.079	0.083	0.072	1.158	0.212	0.06	NoDiff
SPR	0.031	0.032	0.03	1.066	0.093	0.005	NoDiff
SPRED2	0.024	0.018	0.033	0.536	-0.901	0.899	NoDiff
SPRTN	0.171	0.17	0.173	0.979	-0.031	0	NoDiff
SPSB1	0.048	0.06	0.032	1.896	0.923	0.915	NoDiff
SPTBN1	0.687	0.687	0.687	0.995	-0.007	0	NoDiff
SRBD1	0.108	0.117	0.095	1.252	0.325	0.231	NoDiff
SRD5A3	0.218	0.214	0.224	0.959	-0.06	0	NoDiff
SRGAP2	0.046	0.053	0.035	1.495	0.58	0.492	NoDiff
SRGAP2B	0.057	0.058	0.055	1.05	0.07	0.075	NoDiff
SRGAP2C	0.053	0.054	0.052	1.048	0.068	0.05	NoDiff
SRGAP3	0.028	0.028	0.029	0.966	-0.05	0.03	NoDiff
SRM	2.712	2.657	2.791	0.951	-0.072	0	NoDiff
SRP72	2.059	2.11	1.987	1.062	0.087	0	NoDiff
SRP9	3.456	3.139	3.907	0.798	-0.325	0	NoDiff
SRPRB	0.839	1.009	0.596	1.692	0.759	1	GM12878+
SRRM1	1.908	1.782	2.089	0.858	-0.221	0	NoDiff
SRSF10	1.214	1.096	1.382	0.794	-0.332	0	NoDiff
SRSF11	2.016	1.856	2.244	0.827	-0.274	0	NoDiff
SRSF4	1.135	1.101	1.184	0.919	-0.122	0	NoDiff
SRSF7	2.865	2.279	3.701	0.613	-0.706	1	GM18502+
SS18L2	2.459	2.18	2.858	0.76	-0.396	0	NoDiff
SSB	1.587	1.376	1.888	0.723	-0.469	0	NoDiff
SSBP3	0.157	0.186	0.115	1.608	0.686	0.884	NoDiff
SSFA2	0.088	0.095	0.078	1.217	0.283	0.055	NoDiff
SSR2	11.025	13.112	8.05	1.631	0.705	1	GM12878+
SSR3	11.425	15.559	5.531	2.804	1.487	1	GM12878+
SSU72	3.34	3.34	3.341	1.004	0.006	0	NoDiff
SSX2IP	0.049	0.047	0.051	0.931	-0.102	0.03	NoDiff
ST3GAL3	0.046	0.047	0.046	1.026	0.037	0.075	NoDiff
ST3GAL5	0.055	0.063	0.044	1.445	0.531	0.347	NoDiff
ST3GAL6	0.053	0.064	0.037	1.735	0.795	0.93	NoDiff
ST3GAL6-AS1	0.009	0.009	0.01	0.912	-0.134	0.106	NoDiff
ST6GAL1	1.336	1.303	1.383	0.942	-0.087	0	NoDiff
ST7L	0.079	0.079	0.079	1	0	0.075	NoDiff
STAG1	0.178	0.187	0.165	1.137	0.185	0	NoDiff
STAM2	0.102	0.113	0.087	1.297	0.375	0.106	NoDiff
STAMBP	0.519	0.48	0.574	0.835	-0.26	0	NoDiff
STAP1	0.259	0.211	0.329	0.644	-0.636	0.794	NoDiff
STARD7	0.932	0.914	0.958	0.948	-0.077	0	NoDiff
STAT1	2.598	2.927	2.129	1.371	0.456	0	NoDiff
STAT4	0.016	0.017	0.015	1.151	0.202	0.055	NoDiff
STEAP3	0.026	0.019	0.036	0.52	-0.943	0.96	GM18502+
STIL	0.016	0.013	0.019	0.687	-0.541	0.437	NoDiff
STIM2	0.214	0.258	0.152	1.692	0.759	0.97	GM12878+
STK11IP	0.063	0.059	0.068	0.863	-0.213	0.101	NoDiff
STK16	0.789	0.781	0.801	0.969	-0.046	0	NoDiff
STK17B	0.863	0.933	0.763	1.219	0.286	0	NoDiff
STK25	0.514	0.467	0.579	0.807	-0.309	0	NoDiff
STK36	0.021	0.023	0.019	1.177	0.235	0.07	NoDiff
STK39	0.001	0.001	0	1.914	0.937	1	GM12878+
STK40	0.33	0.339	0.318	1.059	0.083	0	NoDiff
STMN1	1.601	1.318	2.006	0.658	-0.603	0.704	NoDiff
STON1	0.01	0.009	0.011	0.822	-0.284	0.176	NoDiff
STPG1	0.045	0.048	0.04	1.211	0.276	0.075	NoDiff
STRADB	0.285	0.292	0.275	1.068	0.095	0	NoDiff
STRIP1	0.088	0.091	0.084	1.088	0.122	0.085	NoDiff
STRN	0.083	0.077	0.091	0.847	-0.24	0	NoDiff
STT3B	0.903	1.119	0.594	1.881	0.911	1	GM12878+
STX12	0.452	0.418	0.501	0.839	-0.253	0	NoDiff
STX18	0.371	0.392	0.341	1.142	0.191	0	NoDiff
STX18-AS1	0.016	0.016	0.017	0.907	-0.141	0.02	NoDiff
STX6	0.149	0.13	0.177	0.735	-0.443	0.045	NoDiff
STXBP3	0.145	0.153	0.133	1.137	0.186	0	NoDiff
SUCLG1	1.563	1.523	1.619	0.941	-0.088	0	NoDiff
SUCLG2	0.429	0.483	0.353	1.357	0.44	0	NoDiff
SUCLG2-AS1	0.007	0.009	0.005	1.627	0.702	0.643	NoDiff
SUCO	0.109	0.122	0.09	1.361	0.444	0.065	NoDiff
SUMF1	0.113	0.118	0.105	1.137	0.185	0.075	NoDiff
SUMO1	4.443	4.219	4.763	0.878	-0.188	0	NoDiff
SUPT7L	0.242	0.246	0.236	1.043	0.061	0	NoDiff
SV2A	0.008	0.005	0.013	0.387	-1.369	0.995	GM18502+
SVBP	0.7	0.701	0.699	1.004	0.005	0	NoDiff
SWT1	0.03	0.036	0.02	1.784	0.835	0.91	NoDiff
SYDE2	0.015	0.013	0.018	0.725	-0.463	0.347	NoDiff
SYF2	2.287	2.416	2.104	1.148	0.199	0	NoDiff
SYN2	0.002	0.002	0.002	1.011	0.016	0.332	NoDiff
SYNC	0.132	0.136	0.127	1.069	0.097	0	NoDiff
SYPL2	0.001	0.001	0.002	0.254	-1.979	1	GM18502+
SYT11	0.083	0.059	0.117	0.509	-0.974	1	GM18502+
SYTL1	0.664	0.862	0.382	2.252	1.171	1	GM12878+
SZRD1	1.384	1.317	1.48	0.889	-0.17	0	NoDiff
SZT2	0.09	0.09	0.09	0.997	-0.004	0.085	NoDiff
TACC3	0.134	0.131	0.138	0.954	-0.068	0	NoDiff
TACR1	0.002	0.002	0.002	1.159	0.213	0.332	NoDiff
TACSTD2	0.044	0.02	0.078	0.252	-1.989	0.975	GM18502+
TADA1	0.055	0.056	0.053	1.049	0.069	0.055	NoDiff
TADA2B	0.044	0.049	0.037	1.331	0.413	0.206	NoDiff
TADA3	1.401	1.264	1.595	0.793	-0.335	0	NoDiff
TAF12	1.121	1.157	1.069	1.081	0.112	0	NoDiff
TAF13	0.125	0.123	0.129	0.957	-0.064	0.095	NoDiff
TAF1A	0.037	0.042	0.031	1.314	0.394	0.141	NoDiff
